collection,source_doc,difficulty,question,expected_answer,match_at_1,match_at_3,match_at_5,top_retrieved_source
atsb_cs200_co50,AO-2023-007 Final.pdf,easy,What was the date of the engine failure on Qantas flight VH-XZB traveling from Auckland to Sydney?,18-Jan-23,True,True,True,AO-2023-007 Final.pdf
atsb_cs200_co50,AO-2023-007 Final.pdf,medium,What mechanical failure caused the uncommanded engine shutdown?,"Separation of the radial driveshaft located in the inlet gearbox, which resulted in a mechanical discontinuity between the engine core and accessory gearbox, causing loss of fuel pump pressure.",True,True,True,AO-2023-007 Final.pdf
atsb_cs200_co50,AO-2023-007 Final.pdf,medium,"What flight level did the flight crew request to descend to after declaring MAYDAY, and why did they choose this altitude?","The flight crew requested an immediate descent to flight level 240 (24,000 ft) after declaring MAYDAY to prioritise communications with air traffic control and ensure they were cleared for descent.",False,False,False,AO-2024-035 Final.pdf
atsb_cs200_co50,AO-2023-007 Final.pdf,hard,How did the aircraft's EDTO operational authorization and the mechanical failure combine to create the circumstances that led to the MAYDAY declaration and specific flight crew decisions?,"The aircraft was authorized for EDTO operations up to 180 minutes from an alternate aerodrome, meaning it was operating far from suitable airports. When the radial driveshaft separated causing engine shutdown that could not be restarted in-flight, the flight crew's location in this extended range required them to declare MAYDAY to prioritize communications and ensure immediate descent clearance, as they would need to continue on a single engine for an extended period to reach either Auckland or Sydney.",True,True,True,AO-2023-007 Final.pdf
atsb_cs200_co50,AO-2024-057 Final_3.pdf,easy,"What was the registration number of the Boeing 737 that experienced an engine failure during takeoff from runway 34R at Sydney Airport on 8 November 2024, subsequently starting a grass fire?",VH-VYH,False,True,True,AO-2024-032-Final.pdf
atsb_cs200_co50,AO-2024-057 Final_3.pdf,easy,What runway did the aircraft take off from at Sydney Airport?,Runway 34R,False,False,False,AO-2023-010 Final.pdf
atsb_cs200_co50,AO-2024-057 Final_3.pdf,medium,What caused the right engine to fail according to the manufacturer's teardown analysis?,"A fatigue crack in one of the high-pressure turbine (HPT) blades, which was liberated from the HPT disc during take-off, damaging other components and resulting in a contained engine failure.",False,True,True,AO-2023-007 Final.pdf
atsb_cs200_co50,AO-2024-057 Final_3.pdf,medium,Why did the flight crew choose to land on runway 34L instead of returning to runway 34R?,"Because the aircraft was slightly over its maximum landing weight due to unspent fuel, the expected landing distance was higher for a single engine landing, and runway 34L was longer (3,962 m vs. 2,438 m). Additionally, runway 34R was closed due to engine fragments and a grass fire.",True,True,True,AO-2024-057 Final_3.pdf
atsb_cs200_co50,AO-2024-057 Final_3.pdf,hard,How does this incident demonstrate that existing safety measures were effective despite the engine having a known history of similar failures?,"The incident demonstrates effective safety measures through multiple layers: the flight crew's training and procedures enabled a decisive and appropriate response during a critical phase of flight; the engine manufacturer had previously implemented risk mitigation by lowering the recommended removal threshold (RRT) and introducing improved HPT blade configurations; the engine was scheduled for removal just 13 days after the incident; the failure was contained rather than catastrophic; and the manufacturer's analysis confirmed the blade configuration still met reliability targets and regulatory requirements, showing the system was managing known risks appropriately.",False,True,True,AO-2023-008 Final.pdf
atsb_cs200_co50,AO-2023-026-Final.pdf,easy,What was the registration number of the Boeing 717 aircraft that experienced a crew incapacitation incident during approach to Hobart Airport on 6 June 2023 after a chlorine odour was detected?,VH-NXM,True,True,True,AO-2023-026-Final.pdf
atsb_cs200_co50,AO-2023-026-Final.pdf,easy,On what date did the flight crew incapacitation incident occur?,6-Jun-23,True,True,True,AO-2023-026-Final.pdf
atsb_cs200_co50,AO-2023-026-Final.pdf,medium,What symptoms did the cabin crew experience after noticing the chlorine odour during climb out from Sydney?,"The cabin crew reported dizziness, mild discomfort described as pressure increasing in their head, and a metallic taste.",True,True,True,AO-2023-026-Final.pdf
atsb_cs200_co50,AO-2023-026-Final.pdf,medium,What deficiency did the ATSB identify in National Jet Systems' cabin air quality events procedure?,"The procedure captured the recording/reporting of odours, post-flight care of crew and maintenance actions, but did not consider the possible application of the smoke/fumes procedure or incapacitation procedure, creating an increased risk of flight crew being adversely affected during critical stages of flight.",True,True,True,AO-2023-026-Final.pdf
atsb_cs200_co50,AO-2023-026-Final.pdf,hard,"How did the sequence of events involving the chlorine odour, crew symptoms, and crew response demonstrate gaps in both procedures and training that could have prevented the incapacitation from affecting the approach phase?","The cabin crew initially noticed the chlorine odour during climb out and reported symptoms, but the cabin air quality events procedure did not prompt consideration of using the smoke/fumes procedure or supplemental oxygen. Later, when the captain experienced hypoxia-like symptoms on approach, the lack of training on subtle cognitive incapacitation meant the first officer continued flying despite developing slowed reactions and cognitive difficulties. If the initial procedure had prompted oxygen use or if training had better addressed subtle incapacitation recognition, the crew could have mitigated the effects before reaching the critical approach phase.",True,True,True,AO-2023-026-Final.pdf
atsb_cs200_co50,AO-2022-029 Final.pdf,easy,What was the registration number of the Virgin Australia Boeing 737-800 that experienced a flight control issue departing Gold Coast Airport on 27 April 2022?,VH-YFZ,False,True,True,AO-2022-051 Final.pdf
atsb_cs200_co50,AO-2022-029 Final.pdf,easy,On what date did this flight control systems occurrence take place?,27-Apr-22,False,True,True,AO-2022-052 Final.pdf
atsb_cs200_co50,AO-2022-029 Final.pdf,medium,What was the pilot's immediate response when noticing the aircraft's tendency to roll to the right after take-off?,"The pilot added 1.5° of left rudder trim to keep the wings level, and when flaps were retracted during climb, the rudder was trimmed back to 0°.",True,True,True,AO-2022-029 Final.pdf
atsb_cs200_co50,AO-2022-029 Final.pdf,medium,"What component failure did the ATSB identify as the root cause, and what was the nature of the failure?","A pre-existing fatigue crack progressed through the aft flap's inboard programming roller cartridge, which held a roller that guided the aft flap during extension and retraction, resulting in component failure.",False,False,True,AO-2023-043 Final.pdf
atsb_cs200_co50,AO-2022-029 Final.pdf,hard,"Why was the fatigue crack in the roller cartridge not detected before failure, and what action did the ATSB take in response?","The area where fatigue cracks developed was not included in Boeing's detailed inspection of the flap actuation system. Although a general visual inspection was specified and last occurred in October 2020, it could not be determined if the crack was present then. With at least 6 of 10 similar failures between 2017-2022 having been inspected several times prior to failure, the ATSB issued a safety recommendation to Boeing to increase detection of fatigue cracks in roller cartridges prior to failure.",True,True,True,AO-2022-029 Final.pdf
atsb_cs200_co50,AO-2023-038 Final.pdf,easy,"What was the registration number of the ERJ-190 that flew below the minimum safe altitude of 3,300 ft while conducting an orbit at 1,800 ft during the Napier RNP 16 instrument approach on 24 May 2023?",VH-IKJ,True,True,True,AO-2023-038 Final.pdf
atsb_cs200_co50,AO-2023-038 Final.pdf,easy,What was the minimum safe altitude where the crew conducted the orbit?,"3,300 ft",False,False,False,AO-2024-035 Final.pdf
atsb_cs200_co50,AO-2023-038 Final.pdf,medium,Why did the crew conduct a holding pattern at waypoint GENDA during descent?,"Due to reduced track miles and extra fuel uplifted in Auckland, the aircraft would be approaching its maximum landing weight on arrival at Napier. To reduce the aircraft weight, they conducted a holding pattern and started the auxiliary power unit (APU) to increase the fuel burn.",False,True,True,AO-2024-035 Final.pdf
atsb_cs200_co50,AO-2023-038 Final.pdf,medium,What additional tasks interrupted the crew near waypoint ELBOW that contributed to the high workload during the approach?,"The aircraft flew through a thin layer of stratus cloud resulting in an ice detection system advisory alert. This required the crew to conduct the Stall Protection Ice Speed checklist, and to recomplete the Approach checklist.",False,False,False,AO-2024-030 Final.pdf
atsb_cs200_co50,AO-2023-038 Final.pdf,hard,How did the series of delays and operational pressures starting in Auckland contribute to the crew's decision to orbit below the minimum safe altitude rather than conducting a missed approach?,"The crew experienced multiple delays in Auckland (customs processing, passenger cargo retrieval, flight plan issues), departed 2 hours 47 minutes late, were pressured to depart before airport closure, then had to manage maximum landing weight issues requiring a holding pattern, followed by an ice detection alert requiring additional checklists. These cumulative time pressures and high workload led the crew to believe they could comply with visual approach criteria and conduct an orbit at 1,800 ft instead of a safer missed approach, despite being 1,500 ft below the 3,300 ft minimum safe altitude.",False,True,True,AO-2023-022 Final.pdf
atsb_cs200_co50,AO-2023-042 Final.pdf,easy,What was the registration number of the Boeing 737 that experienced an in-flight upset 143 km west of Ballina/Byron Gateway Airport when the pilot monitoring inadvertently activated the rudder trim instead of the door unlock switch?,VH-YQR,True,True,True,AO-2023-042 Final.pdf
atsb_cs200_co50,AO-2023-042 Final.pdf,easy,What was the maximum bank angle reached during the upset?,About 42° left angle of bank,True,True,True,AO-2023-042 Final.pdf
atsb_cs200_co50,AO-2023-042 Final.pdf,medium,Why did the autopilot initially fail to prevent the aircraft from banking left despite applying corrective aileron input?,"The autopilot reached the limit of its authority after 5 seconds of left rudder trim application, causing the aircraft to begin banking left with a rapidly increasing rate of bank.",True,True,True,AO-2023-042 Final.pdf
atsb_cs200_co50,AO-2023-042 Final.pdf,medium,What procedural changes did Virgin Australia implement following this incident?,"Virgin Australia limited the time that the door unlock switch was to be held in the unlock position, provided a briefing on the event to flight crews, and made changes to the non-technical skills program addressing this type of occurrence.",False,True,True,AO-2022-051 Final.pdf
atsb_cs200_co50,AO-2023-042 Final.pdf,hard,How did the sequence of the pilot monitoring's actions and attention shifts contribute to the inadvertent rudder trim application and why was the problem not immediately corrected?,"The PM visually identified the flight deck door switch but then diverted their attention to the door itself before grasping the switch, causing them to inadvertently grasp and activate the rudder trim control instead. The problem persisted because when both pilots felt the initial roll/yaw, they scanned instruments but found nothing abnormal, so the PM continued holding what they believed was the door switch while looking at the door. The autopilot initially masked the problem by applying corrective aileron, and even after the upset occurred, the flight crew couldn't promptly identify the left yaw as the primary cause, delaying the restoration of balanced flight.",True,True,True,AO-2023-042 Final.pdf
atsb_cs200_co50,AO-2022-061_FINAL.pdf,easy,"What was the registration number of the Cessna Citation Mustang that descended to 800 feet below the lowest safe altitude while approaching Bankstown Airport 15 km west of the airport after last light on November 16, 2022?",VH-IEQ,False,True,True,AO-2023-022 Final.pdf
atsb_cs200_co50,AO-2022-061_FINAL.pdf,easy,What time did last light occur at Bankstown on 16 November 2022?,About 2004 (approximately 8:04 PM local time),True,True,True,AO-2022-061_FINAL.pdf
atsb_cs200_co50,AO-2022-061_FINAL.pdf,medium,What altitude did the aircraft descend to and how far below the lowest safe altitude was this?,"The aircraft descended to a height of 1,000 ft, which was about 800 ft below the lowest safe altitude for the area",False,True,True,AO-2023-041 Final.pdf
atsb_cs200_co50,AO-2022-061_FINAL.pdf,medium,What happened immediately after the pilot received clearance from ATC to join final for runway 11 centre?,"Immediately after responding to ATC, the aircraft began a left turn onto a track of approximately 060° (true), and near the completion of the left turn at 2015:22, the aircraft began to descend from 2,000 ft",True,True,True,AO-2022-061_FINAL.pdf
atsb_cs200_co50,AO-2022-061_FINAL.pdf,hard,"What was the primary cause of the pilot descending below the lowest safe altitude, and how did the timing of the flight contribute to this error?","The pilot had submitted a flight plan for an arrival after last light (which occurred at 2004), requiring night operation rules, but the pilot followed day operation rules instead because there was still ambient light available. This led to the pilot descending below the lowest safe altitude applicable for night operations. The flight's timing near the transition from day to night (arriving at 2020, about 16 minutes after last light) contributed to this confusion between which rules applied.",False,True,True,AO-2023-041 Final.pdf
atsb_cs200_co50,AO-2024-032-Final.pdf,easy,"What was the registration number of the Boeing 737 that experienced severe turbulence 36 km south-east of Brisbane Airport in May 2024, resulting in a cabin crew member suffering a fractured ankle?",VH-VYK,True,True,True,AO-2024-032-Final.pdf
atsb_cs200_co50,AO-2024-032-Final.pdf,easy,What time did the aircraft depart from Sydney?,1202 local time,False,False,False,AO-2024-036 FINAL.pdf
atsb_cs200_co50,AO-2024-032-Final.pdf,medium,What injuries did the three cabin crew members sustain during the turbulence event?,"Two crew members received minor injuries, including a facial injury and concussion, while the third was seriously injured with a fractured ankle.",True,True,True,AO-2024-032-Final.pdf
atsb_cs200_co50,AO-2024-032-Final.pdf,medium,"Why did the cabin crew remain unrestrained during the severe turbulence, and what was the altitude when the turbulence occurred?","The cabin crew remained unrestrained because the captain did not inform them about the expected turbulence during descent, likely due to not being aware of its severity. The turbulence occurred after passing 11,400 ft about 36 km south-east of Brisbane.",True,True,True,AO-2024-032-Final.pdf
atsb_cs200_co50,AO-2024-032-Final.pdf,hard,"What systemic communication and procedural failures contributed to the risk during this occurrence, and what changes did Qantas implement in response?","The occurrence involved multiple failures: the captain did not inform cabin crew about expected turbulence, the flight crew proceeded with landing unaware that 4 people remained unrestrained in the rear galley assisting the injured crew member, and a concussed crew member returned to work without medical assessment. In response, Qantas updated procedures to mandate immediate doctor assessment of fitness for cabin crew prior to further duties and require immediate medical assessment following moderate or severe turbulence with injuries or unrestrained crew.",False,False,True,AO-2024-064 Final.pdf
atsb_cs200_co50,AO-2024-035 Final.pdf,easy,What was the registration number of the Boeing 737 involved in the inaugural Batik Air flight from Denpasar to Canberra that descended below minimum altitude at MOMBI on 14 June 2024?,PK-LDK,True,True,True,AO-2024-035 Final.pdf
atsb_cs200_co50,AO-2024-035 Final.pdf,easy,What date did the incident occur?,14-Jun-24,False,False,False,AO-2023-043 Final.pdf
atsb_cs200_co50,AO-2024-035 Final.pdf,medium,What was the minimum safe altitude for the MOMBI holding pattern and to what altitude did the aircraft actually descend?,"The minimum safe altitude for the MOMBI holding pattern was 5,600 ft AMSL, but the aircraft descended to 4,700 ft AMSL.",True,True,True,AO-2024-035 Final.pdf
atsb_cs200_co50,AO-2024-035 Final.pdf,medium,"Why did Airservices Australia increase the MOMBI holding pattern minimum altitude from 5,100 ft to 5,600 ft, and what was the consequence of this change?","An obstacle evaluation error during a 2022 review led to the increase from 5,100 ft to 5,600 ft. This increase resulted in a transition from the holding pattern to the approach glideslope that increased the risk of unstable approaches and sudden pitch ups.",True,True,True,AO-2024-035 Final.pdf
atsb_cs200_co50,AO-2024-035 Final.pdf,hard,"How did the combination of inadequate crew training, air traffic control communication issues, and procedural deficiencies contribute to the aircraft descending below minimum safe altitude?","The crew had not completed required CTAF training before the flight and deviated from their cleared track by commencing the AVBEG 5A STAR. The controller's altitude instructions to maintain separation from a restricted area made the aircraft higher than desired, leading the crew to use the MOMBI holding pattern to lose altitude. The crew did not select CTAF frequency, preventing them from receiving safety alerts. The controller providing flight information service was not required to know holding pattern minimum altitudes and did not issue a safety alert. Additionally, Batik Air's change management processes failed to identify and mitigate risks for the new route. These factors combined resulted in the aircraft descending to 4,700 ft AMSL, 900 ft below the minimum safe altitude.",False,False,True,AO-2023-041 Final.pdf
atsb_cs200_co50,AO-2023-022 Final.pdf,easy,What were the aircraft registrations of the two Boeing 737s involved in the separation occurrence?,VH-VZM and VH-VZW,True,True,True,AO-2023-022 Final.pdf
atsb_cs200_co50,AO-2023-022 Final.pdf,easy,What was the wind speed and direction during the separation occurrence between VH-VZM and VH-VZW at Sydney Airport on 29 April 2023?,The wind was 202°–228° at 11–14 kt,True,True,True,AO-2023-022 Final.pdf
atsb_cs200_co50,AO-2023-022 Final.pdf,medium,Why did the crew of VH-VZM take approximately 4 seconds longer than normal to commence the take-off after receiving clearance?,"The delay was due to a permissible unserviceability affecting the performance of one of the engines, which caused the engines to take longer to stabilise after the thrust levers were pushed forward.",True,True,True,AO-2023-022 Final.pdf
atsb_cs200_co50,AO-2023-022 Final.pdf,medium,What were the horizontal and vertical separation distances between the two aircraft during the missed approach?,The separation reduced to 0.8 NM (1.5 km) horizontally and 330 ft vertically,True,True,True,AO-2023-022 Final.pdf
atsb_cs200_co50,AO-2023-022 Final.pdf,hard,What sequence of events and contributing factors led to the reduced separation between the two aircraft?,"The Cessna Citation Mustang took 23 seconds longer than expected to vacate the runway (73 seconds total), the ADCE then cleared VH-VZM for take-off when VH-VZW was 2.4 NM away, VH-VZM's take-off was delayed by 4 seconds due to an engine unserviceability, the go-around instruction was delayed by 12 seconds due to an inadvertent interjection by the tower shift manager, and the crew of VH-VZW misinterpreted a subsequent instruction which caused them not to turn left at 600 ft as required by the published missed approach procedure.",False,True,True,AO-2022-047 Final report.pdf
atsb_cs200_co50,AO-2024-030 Final.pdf,easy,What was the registration number of the Alliance Airlines Embraer 190 that experienced an unstable approach after the ILS flight mode unexpectedly disengaged on approach to runway 19 left at Brisbane Airport on 9 May 2024?,VH-UZI,False,False,True,AO-2024-036 FINAL.pdf
atsb_cs200_co50,AO-2024-030 Final.pdf,easy,What was the date of the unstable approach incident involving Alliance Airlines Embraer ERJ-190 VH-UZI when the ILS approach mode unexpectedly disengaged during a night approach to runway 19 left?,9-May-24,False,True,True,AO-2024-036 FINAL.pdf
atsb_cs200_co50,AO-2024-030 Final.pdf,medium,What type of error did the first officer commit when they pushed the FPA button instead of the FPR button?,"A 'slip' type error where an individual's understanding of the situation is correct, but the wrong action is performed.",True,True,True,AO-2024-030 Final.pdf
atsb_cs200_co50,AO-2024-030 Final.pdf,medium,What changes occurred to the flight director modes when the first officer inadvertently pressed the FPA button?,The lateral and vertical navigation guidance for the flight director changed from localiser (LOC) and glideslope (GS) to aircraft roll angle (ROLL) and flight path angle (FPA).,True,True,True,AO-2024-030 Final.pdf
atsb_cs200_co50,AO-2024-030 Final.pdf,hard,"How did the sequence of events lead to the EGPWS glideslope warning, and why did the crew fail to respond appropriately despite multiple opportunities to perform a go-around?","The first officer inadvertently selected FPA mode while attempting to adjust the FPR line, which disengaged the ILS approach mode. The flight crew then focused on troubleshooting and recapturing the ILS mode rather than monitoring the flight path or conducting a go-around when the aircraft became unstable below 500 ft AAL. This led to exceeding the 1.0 dot glideslope deviation limit undetected. The aircraft descended further below the glideslope, triggering the EGPWS warning, but the crew still did not perform the required terrain avoidance manoeuvre and instead continued the approach. The crew's failure stemmed from divided attention on mode recapture rather than flight path monitoring and go-around decision-making.",True,True,True,AO-2024-030 Final.pdf
atsb_cs200_co50,AO-2023-041 Final.pdf,easy,What was the aircraft registration number of the Fokker 100 that descended below the segment minimum safe altitude near Adelaide Airport on 30 August 2023?,VH-FGB,True,True,True,AO-2023-041 Final.pdf
atsb_cs200_co50,AO-2023-041 Final.pdf,easy,What was the cruising altitude of the aircraft during the flight from Brisbane to Adelaide?,"FL 340 (34,000 ft)",True,True,True,AO-2023-041 Final.pdf
atsb_cs200_co50,AO-2023-041 Final.pdf,medium,What were the altitude restrictions at waypoints PLEZN and KERRS on the BLACK 3A standard instrument arrival?,"At waypoint PLEZN, the aircraft was required to be at or below 9,000 ft. At waypoint KERRS, the aircraft was required to be at or above 5,000 ft.",True,True,True,AO-2023-041 Final.pdf
atsb_cs200_co50,AO-2023-041 Final.pdf,medium,How did the first officer respond when they observed the aircraft continuing to descend despite the captain's command to hold altitude?,The first officer disconnected the autopilot and initiated a climb.,False,True,True,AO-2022-051 Final.pdf
atsb_cs200_co50,AO-2023-041 Final.pdf,hard,What was the primary cause of the altitude deviation and how far below the segment minimum safe altitude did the aircraft descend?,"For an undetermined reason, the FMS did not capture the selected altitude of 3,800 ft. This resulted in the aircraft descending about 480 ft below the segment minimum safe altitude of 3,800 ft.",True,True,True,AO-2023-041 Final.pdf
atsb_cs200_co50,AO-2024-007 - FINAL REPORT.pdf,easy,What was the aircraft registration number for the Alliance Airlines E190 that experienced a low-speed event after departing Honiara for Brisbane on 23 February 2024?,VH-UYI,True,True,True,AO-2024-007 - FINAL REPORT.pdf
