collection,source_doc,difficulty,question,ground_truth,generated_answer,faithfulness,correctness,faithfulness_reason,correctness_reason
atsb_cs500_co50,AO-2023-057 Final.pdf,hard,What were the multiple regulatory and operational deficiencies that contributed to reducing safety assurance for this flight?,The pilot of Viper 1 had a medical restriction requiring a side-by-side cockpit configuration and a qualified safety pilot which were not being followed; the operator did not hold the required operating certificate to undertake the filming flight; the aircraft were not permitted to be used for that purpose; and the specific manoeuvre where Viper 2 passed directly beneath Viper 1 had not been briefed before the flight.,"I cannot determine this from the provided context.

The context contains fragments from multiple different aviation safety reports (referenced as AO-2024-064, AO-2023-023, and mentions of Alliance Airlines and Flight Training Adelaide), but does not provide a comprehensive list or clear description of ""multiple regulatory and operational deficiencies"" for any single specific flight. The excerpts discuss various safety actions, findings, and general safety messages, but do not systematically identify deficiencies that reduced safety assurance for a particular flight.",3,0,"The generated answer accurately reflects that the provided context does not contain information about the specific regulatory and operational deficiencies mentioned in the question, and appropriately acknowledges the limitations of the available information.","The generated answer fails to identify any of the specific deficiencies mentioned in the ground truth (medical restriction violations, missing operating certificate, unauthorized aircraft use, and unbriefed maneuvers), instead stating the information cannot be determined from the context."
atsb_cs500_co50,AO-2023-043 Final.pdf,easy,What was the registration number of the Malaysia Airlines aircraft that overran Melbourne Airport's runway 34 during resurfacing works in September 2023?,9M-MTL,The registration number was 9M-MTL.,3,3,"The answer is directly supported by the context, which explicitly states the Malaysia Airlines aircraft registration as 9M-MTL in multiple places.",The generated answer exactly matches the ground truth answer of 9M-MTL.
atsb_cs500_co50,AO-2023-043 Final.pdf,easy,On what date did the Bamboo Airways Boeing 787-9 overrun runway 34?,18-Sep-23,18 September 2023,3,3,"The answer is directly stated in the first sentence of the context, which specifies the date as 18 September 2023.","The generated answer provides the exact same date as the ground truth, just in a different format (full month name versus abbreviated)."
atsb_cs500_co50,AO-2023-043 Final.pdf,medium,Why did the flight crews of both aircraft use incorrect take-off performance calculations?,"The flight crews did not recognise that reduced runway length operations would be in effect and used the normal, full-length of runway 34 for their take-off performance calculations, resulting in reduced-thrust engine settings that extended the aircraft take-off runs beyond the temporary runway end.","Based on the provided context, the flight crews used incorrect take-off performance calculations for the following reasons:

1. **VN-A819 crew**: Used an incorrect loadsheet to calculate aircraft performance, which resulted in take-off speeds 3-4 kt less than those applicable to the aircraft's actual weight. The captain recalled being aware of the reduced passenger figure but did not recount having undertaken the required ZFW (Zero Fuel Weight) reconciliation calculation.

2. **Bamboo Airways crew**: Were delayed preparing the aircraft for departure due to recurring power outages, which resulted in increased workload and perceived time pressure, contributing to errors in their take-off performance calculations.

Additionally, in both cases, dispatchers did not effectively highlight important information to the flight crews, and in the case of VN-A819, the dispatcher included a misleading crew briefing note.",3,0,"The generated answer is fully supported by the context, accurately citing information about incorrect loadsheets, power outages causing delays, and dispatcher issues.","The generated answer completely misses the key issue from the ground truth about not recognizing reduced runway length operations and using full-length runway for calculations, instead focusing on different issues mentioned in the context."
atsb_cs500_co50,AO-2023-043 Final.pdf,medium,What additional factors affected the Bamboo Airways flight crew's ability to review flight information properly?,"The Bamboo Airways flight crew experienced delays and additional workload due to repeated aircraft power outages, which influenced their normal flight information review procedures. Due to perceived time pressures, the crew did not conduct additional review of the NOTAMs after boarding the aircraft.","According to the context, the Bamboo Airways flight crew experienced **repeated aircraft power outages** which caused delays and additional workload. These power outages influenced their normal flight information review procedures. Due to the **perceived time pressures** created by these issues, the crew did not conduct an additional review of the NOTAMs after boarding the aircraft.",3,3,"The generated answer is fully supported by the context, accurately citing the repeated aircraft power outages, delays, additional workload, time pressures, and lack of additional NOTAM review.","The generated answer matches the ground truth answer completely, covering both the power outages/delays/workload and the time pressures that prevented additional NOTAM review."
atsb_cs500_co50,AO-2023-043 Final.pdf,hard,What were the systemic weaknesses across multiple layers of defense that allowed both runway excursions to occur despite different operators being involved?,Multiple defensive layers failed: dispatchers calculated correct performance but didn't highlight the reduced runway length to crews; operators didn't ensure dispatchers knew what information to emphasize; flight crews didn't properly review NOTAMs or detect runway length information in ATIS broadcasts; crews didn't confirm ATIS versions with ATC as required and controllers didn't challenge this; visual cues at the runway were inadequate as lights weren't designed to alert crews and no construction signage was provided; and both Part 139 Manual of Standards and ICAO Annex 14 didn't provide for conspicuous visual aids to alert pilots to significant runway changes.,"Based on the context provided, the systemic weaknesses across multiple layers of defense were:

1. **Procedural reliance only**: Risk controls were predominantly procedural, depending entirely on flight crews carefully reviewing aerodrome information sources.

2. **Limited preventative controls**: There were ""limited other preventative risk controls"" beyond the procedural requirements for this scenario.

3. **Information overlooked**: Despite available information through multiple channels (ATC communications, internal communications from aircraft operators and flight dispatchers, and aerodrome visual aids), it was overlooked by flight crews in both occurrences.

4. **Lack of visual differentiation**: Flight crews were ""presented with a visual image almost identical to that of a normal runway,"" providing no direct visual cue of the hazard.

5. **Insufficient defensive layers**: The context explicitly states that ""additional defensive layers are required"" and suggests that direct communication from ATC to flight crews could provide ""additional assurance of flight crew awareness.""

The fundamental weakness was over-reliance on a single procedural layer (flight crew review) without adequate backup defenses to catch errors when that layer failed.",3,2,"The generated answer is fully supported by the context, accurately extracting and representing information about procedural reliance, limited preventative controls, overlooked information, lack of visual differentiation, and insufficient defensive layers.","The answer captures key systemic weaknesses but misses several specific failure points mentioned in the ground truth, including dispatcher-to-crew communication failures, ATIS version confirmation issues, ATC not challenging crews, and regulatory gaps in Part 139 MOS and ICAO Annex 14."
atsb_cs500_co50,AO-2024-006 Final_Report.pdf,easy,What was the registration number of the Qantas A380 that flew 34 cycles with a tool left in its outboard left engine after maintenance at Los Angeles International Airport in December 2023?,VH-OQI,The registration number was VH-OQI.,3,3,"The answer is directly supported by the context, which explicitly states that aircraft VH-OQI flew 34 cycles with the tool in the outboard left engine after maintenance at LAX in December 2023.","The generated answer perfectly matches the ground truth answer, providing the exact registration number VH-OQI."
atsb_cs500_co50,AO-2024-006 Final_Report.pdf,easy,How many flight cycles did the aircraft complete with the tool in the engine?,34 cycles totalling 293.74 hours,The aircraft completed 34 flight cycles with the tool in the engine.,3,2,"The generated answer is fully supported by the context, which explicitly states 'The aircraft had flown 34 cycles' multiple times.",The answer correctly provides the number of cycles (34) but omits the additional detail about the total flight hours (293.74 hours) that is included in the ground truth.
atsb_cs500_co50,AO-2024-006 Final_Report.pdf,medium,What actions did LAME 1 take when AME 2 asked if the tools should be returned to the tool store after AME 1 left for a medical appointment?,"LAME 1 advised AME 2 to leave the tools with the aircraft as the afternoon shift would complete the remainder of the task, and then reassigned AME 2 and the support engineer to other tasks.","LAME 1 advised AME 2 to leave the tools with the aircraft as the afternoon shift, commencing at 1500, would complete the remainder of the task.",3,2,"The generated answer is directly supported by the context, which states 'LAME 1 advised AME 2 to leave the tools with the aircraft as the afternoon shift, commencing at 1500, would complete the remainder of the task.'","The generated answer captures the main action correctly but omits the detail that LAME 1 also reassigned AME 2 and the support engineer to other tasks, which is mentioned in the ground truth."
atsb_cs500_co50,AO-2024-006 Final_Report.pdf,medium,What immediate actions did Qantas Engineering take following the discovery of the tool in the engine on 2 January 2024?,"Qantas Engineering raised an internal incident report with an immediate action to brief staff on the importance of ensuring that all tooling is returned and actioned by tool store personnel. An internal investigation was completed and on 4 March 2024, an internal safety directive was released requiring all employees to meet company tooling control requirements without exception.","Based on the context provided, on 2 January 2024, Qantas Engineering took the following immediate actions:

1. Raised an internal incident report
2. Implemented an immediate action to brief staff on the importance of ensuring that all tooling is returned and actioned by tool store personnel
3. Completed an internal investigation, which resulted in the executive manager for Qantas Engineering releasing an internal safety directive on 4 March 2024 requiring all Qantas Engineering employees to meet the requirements of tooling control without exception",3,3,"The generated answer is fully supported by the context, accurately citing the internal incident report, staff briefing, internal investigation, and the March 4, 2024 safety directive.","The generated answer matches the ground truth answer completely, including all key details about the immediate actions taken on January 2, 2024 and the subsequent safety directive on March 4, 2024."
atsb_cs500_co50,AO-2024-006 Final_Report.pdf,hard,"How did the combination of personnel changes, handover procedures, and tool tracking system usage contribute to the tool remaining in the engine for 34 flight cycles?","AME 1 signed out the tool but left early for a medical appointment without returning it, with the tool remaining assigned to them. LAME 1 instructed AME 2 to leave tools with the aircraft for the afternoon shift rather than return them. The support engineer who used the turning tool left for rostered days off. Although the tool store personnel identified the unreturned tool at 1500, the lost tool procedure was not commenced prior to aircraft release to service, and the certifying engineer did not follow up on the lost tool before releasing the aircraft. The tool was not located during end-of-task foreign object inspections, allowing the aircraft to fly 34 cycles before the tool was discovered during the next scheduled maintenance check.","I cannot determine this from the provided context.

The context describes tool control procedures, tracking systems, and shift handover requirements, but it does not provide specific information about how personnel changes, handover procedures, and tool tracking system usage combined to result in a tool remaining in an engine for 34 flight cycles. The context does not mention ""34 flight cycles"" or explain the specific breakdown in these systems that led to this outcome.",3,0,The generated answer accurately reflects that the provided context does not contain information about the 34 flight cycles or the specific sequence of events involving personnel changes and handover failures.,"The generated answer fails to provide any of the key details from the ground truth about AME 1's medical appointment, LAME 1's instructions, the support engineer's departure, the failure to commence lost tool procedure, and the certifying engineer's oversight."
atsb_cs500_co50,AO-2023-007 Final.pdf,easy,What was the registration number of the Qantas Boeing 737 that experienced an uncommanded left engine shutdown while flying from Auckland to Sydney on 18 January 2023?,VH-XZB,"I cannot determine this from the provided context.

The context provided includes information about several Qantas Boeing 737 incidents (including flights QF933, QF520, and others), but none of them involve a flight from Auckland to Sydney on 18 January 2023.",3,0,"The generated answer accurately states that the provided context does not contain information about a flight from Auckland to Sydney on 18 January 2023, which is fully supported by the context.","The generated answer fails to provide the ground truth registration number VH-XZB, instead correctly stating the information is not in the context."
atsb_cs500_co50,AO-2023-007 Final.pdf,easy,What was the date of the engine failure on Qantas flight VH-XZB traveling from Auckland to Sydney?,18-Jan-23,The engine failure on Qantas flight VH-XZB traveling from Auckland to Sydney occurred on 18 January 2023.,3,3,"The generated answer is fully supported by the context, which explicitly states the engine failure involved VH-XZB en route from Auckland to Sydney on 18 January 2023.","The generated answer matches the ground truth answer perfectly, providing the exact date of 18 January 2023 in a complete sentence format."
atsb_cs500_co50,AO-2023-007 Final.pdf,medium,What mechanical failure caused the uncommanded engine shutdown?,"Separation of the radial driveshaft located in the inlet gearbox, which resulted in a mechanical discontinuity between the engine core and accessory gearbox, causing loss of fuel pump pressure.","The uncommanded engine shutdown was caused by the separation of the radial driveshaft located in the inlet gearbox. This separation resulted in a mechanical discontinuity between the engine core and accessory gearbox, which led to a loss of fuel pump pressure and the subsequent engine failure.",3,3,"The generated answer is fully supported by the context, accurately describing the radial driveshaft separation, mechanical discontinuity, and loss of fuel pump pressure exactly as stated in the provided passages.","The generated answer matches the ground truth answer completely, covering all key elements including the radial driveshaft separation, its location in the inlet gearbox, the mechanical discontinuity, and the loss of fuel pump pressure."
atsb_cs500_co50,AO-2023-007 Final.pdf,medium,"What flight level did the flight crew request to descend to after declaring MAYDAY, and why did they choose this altitude?","The flight crew requested an immediate descent to flight level 240 (24,000 ft) after declaring MAYDAY to prioritise communications with air traffic control and ensure they were cleared for descent.","According to the context, the flight crew requested to descend to flight level 240 (24,000 ft) after declaring a MAYDAY. They chose this altitude to prioritize communications with air traffic control and to ensure they were cleared for an immediate descent following an uncommanded shutdown of the left engine.",3,3,"The generated answer is fully supported by the context, which explicitly states the flight crew declared MAYDAY and descended to flight level 240 to prioritise communications with ATC and ensure clearance for immediate descent.","The generated answer matches the ground truth answer completely, including the flight level (240/24,000 ft) and both reasons for choosing this altitude (prioritising communications and ensuring clearance for descent)."
atsb_cs500_co50,AO-2023-007 Final.pdf,hard,How did the aircraft's EDTO operational authorization and the mechanical failure combine to create the circumstances that led to the MAYDAY declaration and specific flight crew decisions?,"The aircraft was authorized for EDTO operations up to 180 minutes from an alternate aerodrome, meaning it was operating far from suitable airports. When the radial driveshaft separated causing engine shutdown that could not be restarted in-flight, the flight crew's location in this extended range required them to declare MAYDAY to prioritize communications and ensure immediate descent clearance, as they would need to continue on a single engine for an extended period to reach either Auckland or Sydney.","Based on the provided context, the EDTO operational authorization meant the aircraft was authorized to operate up to 180 minutes or 1,200 NM from an alternate aerodrome. When the uncommanded shutdown of the left engine occurred, the flight crew's location at that time—presumably in an EDTO segment far from suitable airports—combined with the single-engine situation to create circumstances where they declared a MAYDAY. This declaration was specifically made to prioritize communications with air traffic control and ensure immediate clearance for descent to flight level 240. The EDTO authorization had placed them in a position where an engine failure required immediate assistance due to their distance from diversion airports, meeting the MAYDAY criteria of ""being threatened by serious and/or imminent danger and requiring immediate assistance.""",3,3,"The generated answer is fully supported by the context, accurately referencing the EDTO authorization limits, engine shutdown, location-based reasoning for MAYDAY declaration, and the definition of MAYDAY from the operational procedures.","The generated answer correctly captures all key elements from the ground truth: EDTO authorization up to 180 minutes from alternates, engine shutdown that couldn't be restarted, the location-based necessity for MAYDAY declaration, and the need to continue on single engine to reach an airport."
atsb_cs500_co50,AO-2024-057 Final_3.pdf,easy,"What was the registration number of the Boeing 737 that experienced an engine failure during takeoff from runway 34R at Sydney Airport on 8 November 2024, subsequently starting a grass fire?",VH-VYH,"I cannot determine this from the provided context.

The context mentions an engine failure involving Boeing 737 VH-VYH at Sydney Airport on 8 November 2024, and separately describes an incident where an engine failure during takeoff caused fragments to land on grass and ignite a fire. However, the context does not explicitly confirm that VH-VYH was the aircraft involved in the specific incident with the grass fire on runway 34R on 8 November 2024.",1,0,"The generated answer is overly cautious and fails to connect information that is clearly linked in the context, where VH-VYH is identified as the aircraft in the November 8, 2024 incident that involved engine failure and grass fire.","The generated answer fails to provide the correct registration number VH-VYH, instead claiming it cannot determine this information despite it being present in the context."
atsb_cs500_co50,AO-2024-057 Final_3.pdf,easy,What runway did the aircraft take off from at Sydney Airport?,Runway 34R,"Based on the context provided, the aircraft took off from runway 16L at Sydney Airport.",3,0,"The generated answer is fully supported by the context, which explicitly states that 'VH-VZM was preparing to take off' from 'runway 16L at Sydney Airport'.","The generated answer states runway 16L, which completely contradicts the ground truth answer of runway 34R."
atsb_cs500_co50,AO-2024-057 Final_3.pdf,medium,What caused the right engine to fail according to the manufacturer's teardown analysis?,"A fatigue crack in one of the high-pressure turbine (HPT) blades, which was liberated from the HPT disc during take-off, damaging other components and resulting in a contained engine failure.","I cannot determine this from the provided context.

The context indicates that a **left engine** failure occurred due to a high-pressure turbine blade that failed from a fatigue crack. However, the question asks about the **right engine**, which is not discussed in the provided context.",3,0,The generated answer correctly identifies that the context discusses the left engine failure and appropriately refuses to answer about the right engine which is not mentioned in the context.,"The generated answer fails to provide the correct information about the engine failure, incorrectly claiming the question asks about the right engine when the ground truth clearly describes a high-pressure turbine blade fatigue crack failure."
atsb_cs500_co50,AO-2024-057 Final_3.pdf,medium,Why did the flight crew choose to land on runway 34L instead of returning to runway 34R?,"Because the aircraft was slightly over its maximum landing weight due to unspent fuel, the expected landing distance was higher for a single engine landing, and runway 34L was longer (3,962 m vs. 2,438 m). Additionally, runway 34R was closed due to engine fragments and a grass fire.","I cannot determine this from the provided context.

The context discusses an air traffic control error where a controller incorrectly issued a clearance for runway 34L instead of 16L, but it does not mention anything about runway 34R or any decision by the flight crew to choose between runway 34L and runway 34R.",3,0,"The generated answer correctly states it cannot determine the answer from the context, which is faithful since the context does not contain information about the comparison between runways 34L and 34R or reasons for choosing one over the other.","The generated answer provides no information matching the ground truth about landing weight, landing distance requirements, runway lengths, or the closure of runway 34R due to engine fragments and fire."
atsb_cs500_co50,AO-2024-057 Final_3.pdf,hard,How does this incident demonstrate that existing safety measures were effective despite the engine having a known history of similar failures?,"The incident demonstrates effective safety measures through multiple layers: the flight crew's training and procedures enabled a decisive and appropriate response during a critical phase of flight; the engine manufacturer had previously implemented risk mitigation by lowering the recommended removal threshold (RRT) and introducing improved HPT blade configurations; the engine was scheduled for removal just 13 days after the incident; the failure was contained rather than catastrophic; and the manufacturer's analysis confirmed the blade configuration still met reliability targets and regulatory requirements, showing the system was managing known risks appropriately.","I cannot determine this from the provided context.

The context does not contain information about the engine having a known history of similar failures, nor does it provide details about how existing safety measures were effective in this incident.",3,0,"The generated answer correctly acknowledges that the provided context does not contain information about engine history or effectiveness of safety measures, which is faithful to the limited context provided.","The generated answer fails to provide any of the key information from the ground truth, including crew response, manufacturer actions, removal scheduling, or containment details, though this appears to be because crucial context was not provided to the RAG system."
atsb_cs500_co50,AO-2023-026-Final.pdf,easy,What was the registration number of the Boeing 717 aircraft that experienced a crew incapacitation incident during approach to Hobart Airport on 6 June 2023 after a chlorine odour was detected?,VH-NXM,The registration number was VH-NXM.,3,3,"The answer is directly supported by the context, which explicitly states the aircraft registration as VH-NXM in multiple places throughout the provided text.",The generated answer exactly matches the ground truth answer VH-NXM.
atsb_cs500_co50,AO-2023-026-Final.pdf,easy,On what date did the flight crew incapacitation incident occur?,6-Jun-23,The flight crew incapacitation incident occurred on 6 June 2023.,3,3,The answer is directly supported by the context which explicitly states the occurrence date as '6 June 2023' in multiple places.,"The generated answer matches the ground truth answer exactly, providing the same date in a slightly different format (6 June 2023 vs 6-Jun-23)."
